,error
1036,5.221256197236854
1037,5.204921766770632
1038,5.194160902504533
1039,5.190601330855886
1040,5.176958649660267
1041,5.171488635157003
1042,5.171089698472076
1043,5.169839449191247
1044,5.165498010898664
1045,5.158701928996297
1046,5.156917695079415
1047,5.144930895226085
1048,5.127302675739986
1049,5.098806078560235
1050,5.098806078560235
1051,5.095107916425146
1052,5.080209998799253
1053,5.076775831762179
1054,5.074756881366642
1055,5.060808794370546
1056,5.060808794370546
1057,5.058138738593293
1058,5.049441628986875
1059,5.043027907921196
1060,5.013812470484488
1061,5.013812470484488
1062,5.003186893441241
1063,4.999408439676934
1064,4.979994833571893
1065,4.979994833571893
1066,4.97813819627387
1067,4.972516142326491
1068,4.970717011590461
1069,4.967266657608364
1070,4.967266657608364
1071,4.963289123165809
1072,4.945061295036601
1073,4.945061295036601
1074,4.93708241533631
1075,4.933744884356146
1076,4.925509444207467
1077,4.923237419348105
1078,4.921067403491045
1079,4.914005560576772
1080,4.9139807332551895
1081,4.911341631995787
1082,4.895904401689526
1083,4.888093677141427
1084,4.874704804009157
1085,4.874254939336319
1086,4.867836051143214
1087,4.866463434138357
1088,4.858749192474306
1089,4.848083148827025
1090,4.846220724469704
1091,4.8460225054838295
1092,4.84426075668917
1093,4.8375952059332255
1094,4.8315745097074405
1095,4.818213837674564
1096,4.813140533474577
1097,4.813140533474577
1098,4.808201015145797
1099,4.8065620316996815
1100,4.8065620316996815
1101,4.793951062765839
1102,4.793951062765839
1103,4.792707930421932
1104,4.789276130347474
1105,4.777485651491873
1106,4.775123051445698
1107,4.768701771846252
1108,4.753386896117416
1109,4.739242832236357
1110,4.728543158616327
1111,4.71551579558491
1112,4.714388324723109
1113,4.714014682866554
1114,4.691178675279363
1115,4.691178675279363
1116,4.665809000846586
1117,4.654186237260157
1118,4.649265661670723
1119,4.649265661670723
1120,4.644177058221782
1121,4.639696541127512
1122,4.638722557368187
1123,4.632380909872519
1124,4.6102835293254545
1125,4.6102835293254545
1126,4.606755221877506
1127,4.599545071172637
1128,4.593942426311115
1129,4.575415543434683
1130,4.572576996139644
1131,4.571536054388597
1132,4.570903301745274
1133,4.569584450106989
1134,4.563149391249009
1135,4.553799306703471
1136,4.551288940152024
1137,4.545995675519344
1138,4.545995675519344
1139,4.527321386308583
1140,4.523726724560051
1141,4.5220861500887075
1142,4.52178423484698
1143,4.512136543640092
1144,4.502712933659024
1145,4.49774313381875
1146,4.489625242758444
1147,4.4894817907144144
1148,4.486233764823492
1149,4.483888606956841
1150,4.480452201546507
1151,4.464053284190437
1152,4.464053284190437
1153,4.456152649497858
1154,4.450995812289429
1155,4.438727088014008
1156,4.43510939435825
1157,4.434803299239582
1158,4.432725254837176
1159,4.432725254837176
1160,4.421449618807519
1161,4.419213426892763
1162,4.4045312882633745
1163,4.401971995111028
1164,4.38817630219909
1165,4.387709591590801
1166,4.381780799838398
1167,4.363883518183707
1168,4.36301563572606
1169,4.362246896224868
1170,4.362246896224868
1171,4.35835460973984
1172,4.3533200298465715
1173,4.34606380902343
1174,4.339643919713938
1175,4.329643997473803
1176,4.3237144688030265
1177,4.323368153603515
1178,4.322541135048337
1179,4.3140653666292215
1180,4.3140653666292215
1181,4.311678685222007
1182,4.311298623832914
1183,4.298777271977533
1184,4.29506241371593
1185,4.29506241371593
1186,4.2929590463381295
1187,4.291141723928394
1188,4.277199633379331
1189,4.277199633379331
1190,4.270560763755078
1191,4.268723432801544
1192,4.26072727902999
1193,4.259104729105621
1194,4.257644959439637
1195,4.255110168326228
1196,4.253453379479757
1197,4.253453379479757
1198,4.252209496293843
1199,4.248521301677157
1200,4.247436825240566
1201,4.245714857503724
1202,4.245559768803647
1203,4.245559768803647
1204,4.238547143811798
1205,4.235290477160832
1206,4.226787660347212
1207,4.214839741988524
1208,4.214839741988524
1209,4.210725950836187
1210,4.193159985258045
1211,4.193002389690246
1212,4.192790184198781
1213,4.183522495507638
1214,4.179660033011954
1215,4.170905088636494
1216,4.170865317759349
1217,4.1642248089480995
1218,4.1642248089480995
1219,4.153856376501617
1220,4.1430627916247404
1221,4.129170853888406
1222,4.125884271221504
1223,4.116980235842599
1224,4.111596888166724
1225,4.105035590534857
1226,4.105035590534857
1227,4.104977914489163
1228,4.104977914489163
1229,4.096714939157668
1230,4.0954452759113025
1231,4.093135139816016
1232,4.0907266265122475
1233,4.080950662839863
1234,4.076260358510365
1235,4.07416725004565
1236,4.073979070137799
1237,4.0668226947391855
1238,4.047695248255132
1239,4.044176878496569
1240,4.044151153509859
1241,4.044151153509859
1242,4.036431442535268
1243,4.031479165887766
1244,4.0218997189917705
1245,3.9964703717913
1246,3.9955800065992477
1247,3.9847089280676493
1248,3.9789205567757726
1249,3.97583676436761
1250,3.9735460475769706
1251,3.9673853751400086
1252,3.941967764962911
1253,3.941967764962911
1254,3.941209601800841
1255,3.9326633548005065
1256,3.9314689045077165
1257,3.9284097640030957
1258,3.9276842122822635
1259,3.9249502163375287
1260,3.9249502163375287
1261,3.917734877272472
1262,3.9090539320771627
1263,3.9090539320771627
1264,3.903164476919675
1265,3.8970055133152077
1266,3.8919060861955543
1267,3.8914288272919215
1268,3.8908473273845576
1269,3.888093606019644
1270,3.8742012240687687
1271,3.861334201642607
1272,3.861334201642607
1273,3.8447213064093493
1274,3.843030685498838
1275,3.8170160805254363
1276,3.8170160805254363
1277,3.8110386341886064
1278,3.8110386341886064
1279,3.8106506536533384
1280,3.8106506536533384
1281,3.8099312527111477
1282,3.8056417044995197
1283,3.790847357954358
1284,3.789587621086835
1285,3.774609651388255
1286,3.7709948567416274
1287,3.7438429008683447
1288,3.7227490276244724
1289,3.7153278758287915
1290,3.705099084309819
1291,3.7044035230805576
1292,3.7005864286039345
1293,3.7000953442760873
1294,3.7000953442760873
1295,3.6981924686738683
1296,3.6981924686738683
1297,3.682474461099992
1298,3.682474461099992
1299,3.6707633518038074
1300,3.663545552142918
1301,3.6604654284136484
1302,3.640590786701993
1303,3.6349875108096685
1304,3.6326143987790984
1305,3.632312621690334
1306,3.626081850023724
1307,3.620393524787476
1308,3.6198723081435484
1309,3.6102611043766557
1310,3.6102611043766557
1311,3.5982091822603444
1312,3.597433042997778
1313,3.5953758935609743
1314,3.5953758935609743
1315,3.5948038390783665
1316,3.5942722177948396
1317,3.5923246753002336
1318,3.5884225856075056
1319,3.5865086001884663
1320,3.5852057529598707
1321,3.5831186721758574
1322,3.5831186721758574
1323,3.575673613234654
1324,3.5722771907890287
1325,3.5722771907890287
1326,3.571601747648736
1327,3.5709700009816148
1328,3.570910942028153
1329,3.570910942028153
1330,3.566938884776666
1331,3.5656441038283417
1332,3.5612536093989178
1333,3.5581449330117643
1334,3.556456982258653
1335,3.552783486182509
1336,3.545300360520185
1337,3.545019152982124
1338,3.54277705462931
1339,3.5361842936979486
1340,3.531595808216305
1341,3.528046872874461
1342,3.528046872874461
1343,3.5276549010173506
1344,3.5198335484784433
1345,3.5065956260346285
1346,3.501840234941136
1347,3.501438226275864
1348,3.4925973380596
